#m0                  CPMix_htt^2         dCPMix_htt^2        CPMix_hbb^2         dCPMix_hbb^2        CPMix_htt*hbb       dCPMix_htt*hbb      CPMix_hvv^2         dCPMix_hvv^2        CPMix_hvv*htt       dCPMix_hvv*htt      CPMix_hvv*hbb       dCPMix_hvv*hbb      CPMix_att^2         dCPMix_att^2        CPMix_att*htt       dCPMix_att*htt      CPMix_att*hbb       dCPMix_att*hbb      CPMix_att*hvv       dCPMix_att*hvv      CPMix_abb^2         dCPMix_abb^2        CPMix_abb*htt       dCPMix_abb*htt      CPMix_abb*hbb       dCPMix_abb*hbb      CPMix_abb*hvv       dCPMix_abb*hvv      CPMix_abb*att       dCPMix_abb*att      CPMix_ggf_htt^2     dCPMix_ggf_htt^2    CPMix_ggf_hbb^2     dCPMix_ggf_hbb^2    CPMix_ggf_htt*hbb   dCPMix_ggf_htt*hbb  CPMix_ggf_hvv^2     dCPMix_ggf_hvv^2    CPMix_ggf_hvv*htt   dCPMix_ggf_hvv*htt  CPMix_ggf_hvv*hbb   dCPMix_ggf_hvv*hbb  CPMix_ggf_att^2     dCPMix_ggf_att^2    CPMix_ggf_att*htt   dCPMix_ggf_att*htt  CPMix_ggf_att*hbb   dCPMix_ggf_att*hbb  CPMix_ggf_att*hvv   dCPMix_ggf_att*hvv  CPMix_ggf_abb^2     dCPMix_ggf_abb^2    CPMix_ggf_abb*htt   dCPMix_ggf_abb*htt  CPMix_ggf_abb*hbb   dCPMix_ggf_abb*hbb  CPMix_ggf_abb*hvv   dCPMix_ggf_abb*hvv  CPMix_ggf_abb*att   dCPMix_ggf_abb*att  CPMix_vbf_htt^2  dCPMix_vbf_htt^2  CPMix_vbf_hbb^2  dCPMix_vbf_hbb^2  CPMix_vbf_htt*hbb  dCPMix_vbf_htt*hbb  CPMix_vbf_hvv^2     dCPMix_vbf_hvv^2    CPMix_vbf_hvv*htt  dCPMix_vbf_hvv*htt  CPMix_vbf_hvv*hbb  dCPMix_vbf_hvv*hbb  CPMix_vbf_att^2  dCPMix_vbf_att^2  CPMix_vbf_att*htt  dCPMix_vbf_att*htt  CPMix_vbf_att*hbb  dCPMix_vbf_att*hbb  CPMix_vbf_att*hvv  dCPMix_vbf_att*hvv  CPMix_vbf_abb^2  dCPMix_vbf_abb^2  CPMix_vbf_abb*htt  dCPMix_vbf_abb*htt  CPMix_vbf_abb*hbb  dCPMix_vbf_abb*hbb  CPMix_vbf_abb*hvv  dCPMix_vbf_abb*hvv  CPMix_vbf_abb*att  dCPMix_vbf_abb*att  CPMix_bb_hbb^2      dCPMix_bb_hbb^2     CPMix_bb_abb^2      dCPMix_bb_abb^2     CP0_htt^2         dCP0_htt^2          CP0_hbb^2           dCP0_hbb^2          CP0_hvv^2       dCP0_hvv^2          CP0_htt*hvv       dCP0_htt*hvv        CP0_hbb*hvv         dCP0_hbb*hvv        CP0_htt*hbb         dCP0_htt*hbb        CP0_ggf_htt^2     dCP0_ggf_htt^2      CP0_ggf_hbb^2       dCP0_ggf_hbb^2      CP0_ggf_hvv^2     dCP0_ggf_hvv^2      CP0_ggf_htt*hvv     dCP0_ggf_htt*hvv    CP0_ggf_hbb*hvv     dCP0_ggf_hbb*hvv    CP0_ggf_htt*hbb     dCP0_ggf_htt*hbb    CP0_vbf_htt^2  dCP0_vbf_htt^2     CP0_vbf_hbb^2  dCP0_vbf_hbb^2     CP0_vbf_hvv^2     dCP0_vbf_hvv^2      CP0_vbf_htt*hvv     dCP0_vbf_htt*hvv    CP0_vbf_hbb*hvv  dCP0_vbf_hbb*hvv   CP0_vbf_htt*hbb  dCP0_vbf_htt*hbb   CP0_bb_hbb^2        dCP0_bb_hbb^2       
1                    0.0246817884958     2.44349706504e-05   0.0740873313652     7.33464580505e-05   0.00362615664416    3.28412856344e-05   60351.8302267       59.748311953        -0.221549870107     0.000321778502984   -0.0451613064456    0.000114507743391   0.0292275589265     2.89352833686e-05   -0.0492773691085    4.87845954865e-05   -0.00361407557303   8.92952153479e-06   0.221647042961      0.000557267216896   0.0809149689362     8.01058192548e-05   -0.00360350370971   1.82859697701e-05   -0.00429595045927   4.25299096475e-06   0.045329752738      0.000158597567912   0.00209378244859    5.57567293215e-06   0.0246817884958     2.44349706504e-05   0.00316976286515    3.1380652355e-06    0.00362615664416    3.28412856344e-05   0.715277673439      0.000708124897082   -0.221669575738     0.000476553300669   -0.0451612715301    0.000114701740965   0.0292275589265     2.89352833686e-05   -0.0492773691085    4.87845954865e-05   -0.00361407557303   8.92952153479e-06   0.221511793883      0.000357198601004   0.00999740043616    9.89742643979e-06   -0.00360350370971   1.82859697701e-05   -0.00429595045927   4.25299096475e-06   0.0453299511094     0.000158115813587   0.00209378244859    5.57567293215e-06   0.0              0.0               0.0              0.0               0.0                0.0                 60351.114949        59.7476038282       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0709175685        7.0208392815e-05    0.0709175685        7.0208392815e-05    0.561660196       0.00280830098       0.135522197         0.000677610985      60378.7595      301.8937975         35.115039804      0.17557519902       -0.929322197003     0.00464661098502    0.080730073         0.000403650365      0.561660196       0.00280830098       0.0653752901        0.0003268764505     16.1630078        0.080815039         -5.020104896        0.02510052448       -0.9293308901       0.0046466544505     0.0807362789        0.0004036813945     0.0            1e-96              0.0            1e-96              60362.5964922     301.812982461       40.1351447          0.2006757235        0.0              1e-96              0.0              1e-96              0.0701469069        0.0003507345345     
2                    0.0246811086496     2.44342975783e-05   0.0636420269858     6.30056067156e-05   0.00364877800198    5.22581837647e-05   47730.2545325       47.2529520017       -0.221085009948     0.000285986087788   -0.0450178583935    8.38909449086e-05   0.0292293708527     2.89370771604e-05   -0.0492786574103    4.87858708674e-05   -0.00360557408774   2.32895540541e-05   0.221383833682      0.000388066474156   0.0703784679778     6.96746832989e-05   -0.00353599796906   6.2510400407e-05    -0.00424794786588   4.20546838737e-06   0.0450721293968     0.000101474630163   0.00207411697118    3.88120160635e-06   0.0246811086496     2.44342975783e-05   0.00313289463584    3.10156568914e-06   0.00364877800198    5.22581837647e-05   0.714465548769      0.000707320893048   -0.221127275698     0.00040825050711    -0.0450178510516    8.36910480136e-05   0.0292293708527     2.89370771604e-05   -0.0492786574103    4.87858708674e-05   -0.00360557408774   2.32895540541e-05   0.221337231719      0.000288015496241   0.00986933562776    9.77064227238e-06   -0.00353599796906   6.2510400407e-05    -0.00424794786588   4.20546838737e-06   0.045072261934      0.000101233764655   0.00207411697118    3.88120160635e-06   0.0              0.0               0.0              0.0               0.0                0.0                 47729.5400669       47.2522446808       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.06050913235       5.99040410265e-05   0.06050913235       5.99040410265e-05   0.410162846       0.00205081423       0.104269691         0.000521348455      44023.7712      220.118856          34.375337154      0.17187668577       -0.701469691002     0.00350734845501    0.057181985         0.000285909925      0.410162846       0.00205081423       0.047132263         0.000235661315      11.7628493        0.0588142465        -3.668034056        0.01834017028       -0.701388063        0.003506940315      0.057189237         0.000285946185      0.0            1e-96              0.0            1e-96              44012.0083507     220.060041753       38.04337121         0.19021685605       0.0              1e-96              0.0              1e-96              0.057137428         0.00028568714       
3                    0.0246804288035     2.44336245061e-05   0.0531967226065     5.26647553808e-05   0.00367139935981    7.16750818949e-05   35108.6788383       34.7575920503       -0.22062014979      0.000250193672592   -0.0448744103415    5.32741464264e-05   0.0292311827788     2.89388709521e-05   -0.0492799457121    4.87871462483e-05   -0.00359707260244   3.76495865735e-05   0.221120624403      0.000218865731416   0.0598419670194     5.9243547343e-05    -0.0034684922284    0.000106734831044   -0.00419994527248   4.15794580999e-06   0.0448145060557     4.4351692414e-05    0.00205445149377    2.18673028055e-06   0.0246804288035     2.44336245061e-05   0.00309602640653    3.06506614278e-06   0.00367139935981    7.16750818949e-05   0.713653424098      0.000706516889015   -0.220584975659     0.00033994771355    -0.044874430573     5.26803550625e-05   0.0292311827788     2.89388709521e-05   -0.0492799457121    4.87871462483e-05   -0.00359707260244   3.76495865735e-05   0.221162669556      0.000218832391479   0.00974127081936    9.64385810498e-06   -0.0034684922284    0.000106734831044   -0.00419994527248   4.15794580999e-06   0.0448145727587     4.43517157228e-05   0.00205445149377    2.18673028055e-06   0.0              0.0               0.0              0.0               0.0                0.0                 35107.9651848       34.7568855334       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0501006962        4.9599689238e-05    0.0501006962        4.9599689238e-05    0.329085877       0.001645429385      0.08693682          0.0004346841        35132.7215      175.6636075         32.626114123      0.163130570615      -0.563736819998     0.00281868409999    0.046359732         0.00023179866       0.329085877       0.001645429385      0.0373733053        0.0001868665265     9.44551109        0.04722755545       -2.942095447        0.014710477235      -0.5637390953       0.0028186954765     0.0463618977        0.0002318094885     0.0            1e-96              0.0            1e-96              35123.2759889     175.616379945       35.56820957         0.17784104785       0.0              1e-96              0.0              1e-96              0.0495635147        0.0002478175735     
4                    0.0246769229845     2.44301537569e-05   0.0483600588256     4.78764582354e-05   0.00362915758158    3.76121603778e-05   29987.0186905       29.6871485115       -0.220782011101     0.00023450708153    -0.0445823716155    0.000116453782358   0.029219828815      2.89276305273e-05   -0.0492686801207    4.87759933226e-05   -0.00359459209657   2.06031020802e-05   0.220900718505      0.000369152497009   0.0548861351216     5.43372737636e-05   -0.00350487220378   6.09965545411e-05   -0.00412492517411   4.08367592058e-06   0.0444142315725     4.39611929309e-05   0.00201712881728    2.07307101829e-06   0.0246769229845     2.44301537569e-05   0.00303578437558    3.00542652985e-06   0.00362915758158    3.76121603778e-05   0.712303488724      0.000705180452866   -0.220745343978     0.000279345618023   -0.04458237182      0.000116143712287   0.029219828815      2.89276305273e-05   -0.0492686801207    4.87759933226e-05   -0.00359459209657   2.06031020802e-05   0.220931799726      0.000354151919684   0.0095618606716     9.46624205814e-06   -0.00350487220378   6.09965545411e-05   -0.00412492517411   4.08367592058e-06   0.0444141615435     4.39610004814e-05   0.00201712881728    2.07307101829e-06   0.0              0.0               0.0              0.0               0.0                0.0                 29986.306387        29.686443331        0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.04532427445       4.48710317055e-05   0.04532427445       4.48710317055e-05   0.271748424       0.00135874212       0.0744814994        0.000372407497      29185.9529      145.9297645         31.062851576      0.15531425788       -0.4465814994       0.002232907497      0.0381055846        0.000190527923      0.271748424       0.00135874212       0.0302565236        0.000151282618      7.77042327        0.03885211635       -2.419776454        0.01209888227       -0.4466615836       0.002233307918      0.0381076034        0.000190538017      0.0            1e-96              0.0            1e-96              29178.1824767     145.890912383       33.48262803         0.16741314015       0.0              1e-96              0.0              1e-96              0.0442249758        0.000221124879      
5                    0.0246734171655     2.44266830078e-05   0.0435233950446     4.30881610899e-05   0.00358691580336    3.54923886063e-06   24865.3585428       24.6167049726       -0.220943872412     0.000218820490468   -0.0442903328895    0.000179633418289   0.0292084748512     2.89163901026e-05   -0.0492574145294    4.87648403968e-05   -0.00359211159069   3.5566175869e-06    0.220680812606      0.000519439262601   0.0499303032239     4.94310001843e-05   -0.00354125217916   1.52582780381e-05   -0.00404990507575   4.00940603117e-06   0.0440139570893     4.35706934477e-05   0.00197980614079    1.95941175603e-06   0.0246734171655     2.44266830078e-05   0.00297554234463    2.94578691693e-06   0.00358691580336    3.54923886063e-06   0.710953553349      0.000703844016717   -0.220905712296     0.000218743522497   -0.0442903130671    0.000179607069511   0.0292084748512     2.89163901026e-05   -0.0492574145294    4.87648403968e-05   -0.00359211159069   3.5566175869e-06    0.220700929896      0.00048947144789    0.00938245052385    9.2886260113e-06    -0.00354125217916   1.52582780381e-05   -0.00404990507575   4.00940603117e-06   0.0440137503284     4.35702852401e-05   0.00197980614079    1.95941175603e-06   0.0              0.0               0.0              0.0               0.0                0.0                 24864.6475892       24.6160011286       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0405478527        4.0142374173e-05    0.0405478527        4.0142374173e-05    0.233092109       0.001165460545      0.0655275286        0.000327637643      24884.5585      124.4227925         29.724107891      0.148620539455      -0.385027528601     0.00192513764301    0.0326430844        0.000163215422      0.233092109       0.001165460545      0.0254144305        0.0001270721525     6.64313065        0.03321565325       -2.063934239        0.010319671195      -0.3850399305       0.0019251996525     0.0326442545        0.0001632212725     0.0            1e-96              0.0            1e-96              24877.9153693     124.389576846       31.78804213         0.15894021065       0.0              1e-96              0.0              1e-96              0.0401130981        0.0002005654905     
6                    0.0246634744777     2.44168397707e-05   0.0403522315026     3.9948709185e-05    0.00355517360605    6.72949392837e-06   21894.9683769       21.6760187015       -0.220720829553     0.000231014982719   -0.0435693688302    0.000111016843591   0.0291922782079     2.89003554191e-05   -0.0492361286661    4.87437674092e-05   -0.0035455220974    9.56691987247e-06   0.220537248112      0.000368745753793   0.0466808094961     4.62140014013e-05   -0.00353161071274   2.95207214213e-05   -0.00395758983206   3.91801393341e-06   0.0434783508909     5.98055068189e-05   0.00191100123143    6.74798964508e-06   0.0246634744777     2.44168397707e-05   0.00289810035264    2.86911934655e-06   0.00355517360605    6.72949392837e-06   0.708809537808      0.000701721441816   -0.22068208301      0.00021842657788    -0.0435694425932    0.000111003821849   0.0291922782079     2.89003554191e-05   -0.0492361286661    4.87437674092e-05   -0.0035455220974    9.56691987247e-06   0.220543924402      0.000353763195022   0.00922667834611    9.13441156283e-06   -0.00353161071274   2.95207214213e-05   -0.00395758983206   3.91801393341e-06   0.0434776193033     6.05834117145e-05   0.00191100123143    6.74798964508e-06   0.0              0.0               0.0              0.0               0.0                0.0                 21894.2595674       21.6753169801       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.03745413115       3.70795898385e-05   0.03745413115       3.70795898385e-05   0.203409654       0.00101704827       0.0583841012        0.000291920506      21579.0477      107.8952385         28.208590346      0.14104295173       -0.319984101203     0.00159992050602    0.0279786138        0.000139893069      0.203409654       0.00101704827       0.0216021303        0.0001080106515     5.79171759        0.02895858795       -1.812282824        0.00906141412       -0.3199411103       0.0015997055515     0.0279793797        0.0001398968985     0.0            1e-96              0.0            1e-96              21573.2559824     107.866279912       30.02087317         0.15010436585       0.0              1e-96              0.0              1e-96              0.0367819709        0.0001839098545     
7                    0.02465353179       2.44069965337e-05   0.0371810679607     3.68092572802e-05   0.00352343140874    9.9097489961e-06    18924.578211        18.7353324304       -0.220497786694     0.00024320947497    -0.0428484047709    4.24002688924e-05   0.0291760815646     2.88843207356e-05   -0.0492148428029    4.87226944216e-05   -0.00349893260411   1.5577222158e-05    0.220393683619      0.000218052244984   0.0434313157684     4.29970026183e-05   -0.00352196924631   4.37831648044e-05   -0.00386527458837   3.82662183566e-06   0.0429427446926     7.60403201901e-05   0.00184219632208    1.15365675341e-05   0.02465353179       2.44069965337e-05   0.00282065836065    2.79245177617e-06   0.00352343140874    9.9097489961e-06    0.706665522267      0.000699598866916   -0.220458453724     0.000218109633264   -0.0428485721193    4.24005741868e-05   0.0291760815646     2.88843207356e-05   -0.0492148428029    4.87226944216e-05   -0.00349893260411   1.5577222158e-05    0.220386918909      0.000218054942154   0.00907090616838    8.98019711435e-06   -0.00352196924631   4.37831648044e-05   -0.00386527458837   3.82662183566e-06   0.0429414882782     7.75965381889e-05   0.00184219632208    1.15365675341e-05   0.0              0.0               0.0              0.0               0.0                0.0                 18923.8715455       18.7346328315       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0343604096        3.4016805504e-05    0.0343604096        3.4016805504e-05    0.18078581        0.00090392905       0.0526555956        0.000263277978      18937.1005      94.6855025          26.78681419       0.13393407095       -0.2922555956       0.001461277978      0.0245344634        0.000122672317      0.18078581        0.00090392905       0.0186616287        9.33081435e-05      5.13223531        0.02566117655       -1.60971817         0.00804859085       -0.2923271087       0.0014616355435     0.0245358143        0.0001226790715     0.0            1e-96              0.0            1e-96              18931.9682647     94.6598413235       28.39653236         0.1419826618        0.0              1e-96              0.0              1e-96              0.0339939669        0.0001699698345     
8                    0.0246383735132     2.43919898153e-05   0.0348365808762     3.44882150663e-05   0.00340900583989    4.90560790893e-05   16958.2818008       16.7886990038       -0.220048807205     0.000230284147873   -0.0421268935462    0.000162295013225   0.0291551438701     2.88635924304e-05   -0.0491852567362    4.86934042053e-05   -0.00346989167469   1.46756903251e-05   0.220075165396      0.000295389771881   0.0411758306558     4.07640723553e-05   -0.00348906224694   2.85728519229e-05   -0.00375351251565   3.71597738066e-06   0.0421178653784     0.000411145619884   0.00172058412036    1.06944154882e-05   0.0246383735132     2.43919898153e-05   0.00273726662619    2.70989395883e-06   0.00340900583989    4.90560790893e-05   0.703803058481      0.000696765027659   -0.220035644634     0.000217732578348   -0.0421270224465    0.000162388510685   0.0291551438701     2.88635924304e-05   -0.0491852567362    4.86934042053e-05   -0.00346989167469   1.46756903251e-05   0.220069831199      0.000287983114506   0.00907651640584    8.98575124782e-06   -0.00348906224694   2.85728519229e-05   -0.00375351251565   3.71597738066e-06   0.0421172154482     0.000411934846051   0.00172058412036    1.06944154882e-05   0.0              0.0               0.0              0.0               0.0                0.0                 16957.5779977       16.7880022388       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.03209931425       3.17783211075e-05   0.03209931425       3.17783211075e-05   0.162596081       0.000812980405      0.0479746695        0.0002398733475     16794.9392      83.974696           25.409403919      0.127047019595      -0.2678746695       0.0013393733475     0.0226963365        0.0001134816825     0.162596081       0.000812980405      0.016371331         8.1856655e-05       4.6298438         0.023149219         -1.457256391        0.007286281955      -0.267826691        0.001339133455      0.022699145         0.000113495725      0.0            1e-96              0.0            1e-96              16790.3093562     83.951546781        26.86666031         0.13433330155       0.0              1e-96              0.0              1e-96              0.0316033385        0.0001580166925     
9                    0.0246232152364     2.4376983097e-05    0.0324920937917     3.21671728525e-05   0.00329458027103    8.82024091826e-05   14991.9853905       14.8420655773       -0.219599827716     0.000217358820777   -0.0414053823215    0.000282189757557   0.0291342061755     2.88428641252e-05   -0.0491556706696    4.86641139889e-05   -0.00344085074526   1.37741584922e-05   0.219756647172      0.000372727298779   0.0389203455433     3.85311420923e-05   -0.00345615524757   1.33625390413e-05   -0.00364175044293   3.60533292567e-06   0.0412929860643     0.000746250919578   0.00159897191865    9.85226344218e-06   0.0246232152364     2.4376983097e-05    0.00265387489172    2.6273361415e-06    0.00329458027103    8.82024091826e-05   0.700940594694      0.000693931188402   -0.219612835544     0.000217355523431   -0.0414054727738    0.000282376447182   0.0291342061755     2.88428641252e-05   -0.0491556706696    4.86641139889e-05   -0.00344085074526   1.37741584922e-05   0.219752743489      0.000357911286857   0.0090821266433     8.9913053813e-06    -0.00345615524757   1.33625390413e-05   -0.00364175044293   3.60533292567e-06   0.0412929426182     0.000746273153914   0.00159897191865    9.85226344218e-06   0.0              0.0               0.0              0.0               0.0                0.0                 14991.2844499       14.8413716461       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0298382189        2.9539836711e-05    0.0298382189        2.9539836711e-05    0.148495765       0.000742478825      0.0439547136        0.000219773568      15001.8965      75.0094825          24.230304235      0.121151521175      -0.232154713601     0.001160773568      0.0201377254        0.000100688627      0.148495765       0.000742478825      0.0144379859        7.21899295e-05      4.19661649        0.02098308245       -1.324193745        0.006620968725      -0.2321505259       0.0011607526295     0.0201397791        0.0001006988955     0.0            1e-96              0.0            1e-96              14997.6998835     74.9884994175       25.55449798         0.1277724899        0.0              1e-96              0.0              1e-96              0.0295167277        0.0001475836385     
10                   0.0246059001995     2.43598412092e-05   0.0306433006333     3.03368676259e-05   0.00335435259662    5.16162046541e-05   13595.4356717       13.4594813451       -0.219227108363     0.000217021537266   -0.0405990403082    0.000160781223858   0.0291053971527     2.88143431555e-05   -0.0491165146905    4.86253495307e-05   -0.00339702712147   1.20438631181e-05   0.219211629261      0.000294630963753   0.0386549351912     3.82683858385e-05   -0.00356551665842   5.62118619878e-05   -0.00353264320617   3.4973167823e-06    0.0400966097408     0.0004190412983     0.00148402068124    5.60367211912e-06   0.0246059001995     2.43598412092e-05   0.0025714471333     2.54573266089e-06   0.00335435259662    5.16162046541e-05   0.697668412292      0.000690691727949   -0.219230832962     0.000217020765011   -0.0405990492589    0.000160874601534   0.0291053971527     2.88143431555e-05   -0.0491165146905    4.86253495307e-05   -0.00339702712147   1.20438631181e-05   0.219206197528      0.000287222672182   0.0105830816912     1.04772508735e-05   -0.00356551665842   5.62118619878e-05   -0.00353264320617   3.4973167823e-06    0.040096620778      0.000419243558629   0.00148402068124    5.60367211912e-06   0.0              0.0               0.0              0.0               0.0                0.0                 13594.7380033       13.4587906534       0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0              0.0               0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0                0.0                 0.0280718535        2.7791134965e-05    0.0280718535        2.7791134965e-05    0.137217071       0.000686085355      0.0405754013        0.0002028770065     13496.5753      67.4828765          22.894182929      0.114470914645      -0.2048754013       0.0010243770065     0.0181383167        9.06915835e-05      0.137217071       0.000686085355      0.0129031923        6.45159615e-05      3.85562924        0.0192781462        -1.218650051        0.006093250255      -0.2049329323       0.0010246646615     0.0181404127        9.07020635e-05      0.0            1e-96              0.0            1e-96              13492.7196708     67.463598354        24.11283298         0.1205641649        0.0              1e-96              0.0              1e-96              0.027672209         0.000138361045      
